Time,类型,SoundFile,
8:40:00,起床1,qc1.mp3,
8:44:00,起床2,qc2.mp3,
8:48:23,起床3,qc3.mp3,
9:28:00,预备,ybl.mp3,
9:30:00,上课,skl.mp3,
10:10:00,下课,xkl.mp3,
10:18:00,预备,ybl.mp3,
10:20:00,上课,skl.mp3,
11:00:00,下课,xkl.mp3,
11:08:00,预备,ybl.mp3,
11:10:00,上课,skl.mp3,
11:50:00,下课,xkl.mp3,
11:55:00,下课,xkl.mp3,
11:55:12,眼保健操,ybjc.mp3,
12:30:00,预备,ybl.mp3,
12:35:00,上课,skl.mp3,
13:15:00,下课,xkl.mp3,
13:28:00,预备,ybl.mp3,
13:30:00,上课,skl.mp3,
13:38:00,预备,ybl.mp3,
13:40:00,上课,skl.mp3,
14:20:00,下课,xkl.mp3,
14:28:00,预备,ybl.mp3,
14:30:00,上课,skl.mp3,
15:10:00,下课,xkl.mp3,
15:18:00,预备,ybl.mp3,
15:20:00,上课,skl.mp3,
16:00:00,下课,xkl.mp3,
16:08:00,预备,ybl.mp3,
16:10:00,上课,skl.mp3,
16:50:00,下课,xkl.mp3,
17:35:00,预备,ybl.mp3,
17:40:00,上课,skl.mp3,
18:00:00,下课,xkl.mp3,
18:08:00,预备,ybl.mp3,
18:10:00,上课,skl.mp3,
19:00:00,下课,xkl.mp3,
19:08:00,预备,ybl.mp3,
19:10:00,上课,skl.mp3,
19:10:12,眼保健操,ybjc.mp3,
20:30:00,下课,xkl.mp3,
20:38:00,预备,ybl.mp3,
20:40:00,上课,skl.mp3,
21:40:00,下课,xkl.mp3,
22:18:00,预备,ybl.mp3,
22:20:00,熄灯,mhq.mp3,
